#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Pretty Fly (For A White Guy)","The Offspring",78,143,"punk, skate punk","Rock","Americana",1998-11-16,03:08,72,90,9,0,96,10,0,-4,B minor,4,2025-11-12,3SFXsFpeGmBTtQvKiwYMDA,"Concord Records",10A,USSM19804199
2,"Semi-Charmed Life","Third Eye Blind",79,102,"","","Third Eye Blind",1997-04-08,04:28,64,86,1,0,70,0,10,-7,G,4,2025-11-12,42et6fnHCw1HIPSrdPprMl,"Rhino/Elektra",9B,USEE19701203
3,"LUNCH","Billie Eilish",81,125,"","","HIT ME HARD AND SOFT",2024-05-17,02:59,89,40,5,8,95,0,0,-8,B minor,4,2025-11-12,629DixmZGHc7ILtEntuiWE,"Darkroom/Interscope Records",10A,USUM72401991
4,"You're Still The One","Shania Twain",71,134,"country","Country","Come On Over",1997-11-04,03:32,59,49,36,0,63,0,0,-9,D#/E♭,4,2025-11-12,1wb4P4F0sxAQ2KXrRvsx6n,"Mercury Nashville",5B,USMR19887499
5,"Islands in the Stream","Dolly Parton, Kenny Rogers",71,204,"country, classic country","Country","Dolly",2009-10-30,04:09,59,47,68,0,74,0,0,-10,G#/A♭,4,2025-11-12,4mnOVRRXsaqg9Nb041xR8u,"Legacy Recordings",4B,USRN19600175
6,"Walking in Memphis","Marc Cohn",68,130,"","","Marc Cohn",1991-02-08,04:12,57,51,55,0,33,0,30,-9,C,4,2025-11-12,5fgkjhICZnqFctrV0AyuQD,"Rhino",8B,USAT29900737
7,"good 4 u","Scary Pockets, India Carney",24,133,"funk, retro soul","R&B","Stank Face",2023-01-13,03:45,54,70,14,0,52,0,0,-6,A#/B♭ minor,4,2025-11-12,51fn9GXSrx0vFim2XUr5Bo,"Pockets, Inc.",3A,QZPJ32203473
8,"You Make My Dreams (Come True)","Daryl Hall & John Oates",80,167,"yacht rock, soft rock","Rock, Pop","Voices",1980-00-00,03:10,75,50,23,11,90,0,0,-12,F,4,2025-11-12,4o6BgsqLIBViaGVbx5rbRk,"RCA/BMG Heritage",7B,USRC10301828
9,"Lose Control","Teddy Swims",89,160,"","","I've Tried Everything But Therapy (Part 1)",2023-09-15,03:30,56,60,20,0,24,0,10,-4,A,3,2025-11-12,17phhZDn6oGtzMe56NuWvj,"Warner Records",11B,USWB12302315
10,"I Believe in a Thing Called Love","The Darkness",72,128,"glam metal","Metal, Rock","Permission to Land",2003-07-07,03:36,45,89,5,0,63,0,20,-2,E,4,2025-11-12,756CJtQRFSxEx9jV4P9hpA,"Atlantic Records",12B,GBAHS0300635
11,"You Give Love A Bad Name","Bon Jovi",76,123,"glam metal, rock","Metal, Rock","Slippery When Wet",1986-08-16,03:42,54,96,7,0,81,0,30,-3,C minor,4,2025-11-12,0rmGAIH9LNJewFw7nKzZnc,"Island Records",5A,USPR39402224
12,"Dani California","Red Hot Chili Peppers",79,96,"funk rock, alternative rock, rock","Rock, R&B","Stadium Arcadium",2006-05-09,04:42,56,91,2,0,73,0,30,-2,C,4,2025-11-12,10Nmj3JCNoMeBQ87uw5j8k,"Warner Records",8B,USWB10600700
13,"What's My Age Again?","blink-182",77,158,"pop punk, punk, rock, skate punk, emo","Rock, Pop","Enema Of The State",1999-06-01,02:28,39,95,1,0,47,0,0,-7,F#/G♭,4,2025-11-12,4LJhJ6DQS7NwE7UKtvcM52,"Geffen",2B,USMC19959007
14,"Every Little Thing She Does Is Magic","The Police",75,82,"","","Ghost In The Machine (Remastered 2003)",1981-10-02,04:20,56,77,12,6,43,0,10,-10,D,4,2025-11-12,44aTAUBF0g6sMkMNE8I5kd,"Polydor Records",10B,GBAAM0201127
15,"The Sweet Escape","Gwen Stefani, Akon",70,120,"","","The Sweet Escape",2006-12-01,04:06,76,77,19,0,73,0,10,-4,C♯/D♭,4,2025-11-12,5BHtT1xpC44pGy1J7RKY4T,"Interscope",3B,USUM70618684
16,"Espresso","Sabrina Carpenter",84,104,"pop","Pop","Espresso",2024-04-12,02:55,70,76,11,0,69,0,10,-5,C,4,2025-11-12,2qSkIjg1o9h3YT9RAgYN75,"Island Records",8B,USUM72403305
17,"Freak on a Leash (feat. Amy Lee) - Live At MTV Studio, NYC, 2006","Korn, Amy Lee",51,110,"nu metal, metal, rap metal, alternative metal","Metal, Rock, Hip Hop","MTV Unplugged (Live)",2007-03-05,03:55,44,78,24,0,17,20,90,-6,D,4,2025-11-12,0CMo36AWojJ04Gb3GKf604,"Tempo Music",10B,USVI20700169
18,"Africa","TOTO",86,93,"yacht rock, soft rock","Rock, Pop","Toto IV",1982-04-08,04:55,67,37,26,0,73,0,0,-18,A,4,2025-11-12,2374M0fQpWi3dLnB54qaLX,"Columbia",11B,USSM19801941
19,"Hot for Teacher - 2015 Remaster","Van Halen",66,128,"glam metal, classic rock, rock, hard rock","Rock, Metal","1984 (Remastered)",1984-01-04,04:42,55,95,0,0,47,10,0,-5,D,4,2025-11-12,6QDbGdbJ57Mtkflsg42WV5,"Rhino/Warner Records",10B,USWB11403684
20,"We Are The Champions - Remastered 2011","Queen",74,64,"classic rock, rock, glam rock","Rock","News Of The World (2011 Remaster)",1977-10-28,02:59,27,46,38,0,18,0,10,-7,A#/B♭,4,2025-11-12,1lCRw5FEZ1gPDNPzy1K4zW,"EMI",6B,GBUM71029619
21,"Numb","Linkin Park",88,110,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Meteora",2003-03-25,03:07,49,87,0,0,21,0,40,-4,F#/G♭ minor,4,2025-11-12,2nLtzopw4rPReszdYBJU6h,"Warner Records",11A,USWB10300474
22,"24K Magic","Bruno Mars",82,107,"","","24K Magic",2016-11-17,03:45,82,80,3,0,63,0,10,-4,C♯/D♭,4,2025-11-12,6b8Be6ljOzmkOmFslEb23P,"Atlantic Records",3B,USAT21602944
23,"One More Time","Daft Punk",81,123,"french house, electronic, electro","Electronic","Discovery",2001-03-12,05:20,61,70,2,0,48,10,30,-9,D,4,2025-11-12,0DiWol3AO6WpXZgp0goxAV,"Daft Life Ltd./ADA France",10B,GBDUW0000053
24,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk, Pharrell Williams, Nile Rodgers",80,116,"french house, electronic, electro","Electronic","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]",2013-04-19,04:08,79,81,4,0,86,0,10,-9,F#/G♭ minor,4,2025-11-12,2Foc5Q5nqNiosCNqttzHof,"Columbia",11A,USQX91300809
25,"We Found Love","Rihanna, Calvin Harris",84,128,"edm","Electronic","Talk That Talk",2011-11-18,03:35,74,77,3,0,60,0,10,-4,C♯/D♭,4,2025-11-12,6qn9YLKt13AGvpq9jfO8py,"Def Jam Recordings",3B,USUM71115507
26,"Don't Stop The Music","Rihanna",68,123,"","","Good Girl Gone Bad: Reloaded",2007-03-31,04:27,84,66,4,0,54,0,0,-6,F#/G♭ minor,4,2025-11-12,62LHRv9uwSNlBmByQF5jdE,"Def Jam Recordings",11A,USUM70734700
27,"Billie Jean","Michael Jackson",86,117,"","","Thriller",1982-11-30,04:54,93,46,2,4,88,0,0,-10,B minor,4,2025-11-12,7J1uxwnxfQLu4APicE5Rnj,"Epic",10A,USSM19902991
28,"Use Somebody","Isaac Hale",59,93,"","","Use Somebody",2022-10-14,03:08,45,25,86,0,33,0,10,-11,D,3,2025-11-12,3XXaCFZD3dcik18uJYs9fA,"Isaac Hale",10B,SE5W32203573
29,"Mr. Brightside","Bailey Jehl",54,123,"","","Mr. Brightside",2022-09-02,03:35,49,21,91,0,41,0,10,-13,D#/E♭,4,2025-11-12,6gSXDd3P1nIjuM1v1ZQqi6,"Bailey Jehl",5B,SE5IB2287617
30,"The Scientist","SKAAR",51,74,"norwegian pop","Pop","The Scientist",2020-11-04,04:35,42,17,89,1,12,0,0,-15,A#/B♭,4,2025-11-12,4HYRVbQHz6xOtpoh9RB3pt,"WM Norway",6B,NOAGW2000122
31,"Big Girls Don't Cry","Nelly Hope",55,110,"","","Big Girls Don't Cry",2023-05-12,02:43,79,36,80,0,40,0,10,-10,E,4,2025-11-12,55eqiKZdQSdbya2Oty6vDE,"Nelly Hope",12B,SE5W32306850
32,"BLACKBIRD","JML",53,93,"","","BLACKBIRD",2023-02-03,02:08,62,26,90,0,54,0,10,-11,C♯/D♭,4,2025-11-12,332d9YxpG0xw4TKu6PwDCr,"JML",3B,SE5W32300413
33,"Clair de Lune","Johann Debussy",64,76,"","","Clair de Lune",2021-02-05,04:35,31,3,99,92,4,0,10,-24,C♯/D♭,5,2025-11-12,6Er8Fz6fuZNi5cvwQjv1ya,"Sana Divina",3B,QZFZ42144449
34,"Für Elise","Ludwig van Beethoven",59,144,"classical, classical piano, chamber music","Classical","Classical Best Of",2009-03-01,02:53,25,2,100,90,31,0,0,-36,A minor,3,2025-11-12,1DfGPEHxTYeaJpiNA4xUb5,"Big Eye Music",8A,USA560925924
35,"Winter (from The Four Seasons)","Antonio Vivaldi",56,138,"classical","Classical","A Calendar Of Classics - February",2007-11-03,02:14,50,35,87,67,27,0,10,-9,F minor,4,2025-11-12,6OHOYEMQfPKWZY4Uxxybnh,"K-Tel",4A,GBSBU0601767